input,output
"Sort the following words alphabetically: List: ""\u0634\u0627\u0679_\u06c1\u06cc\u0646\u065b\u0691_,\u0633\u0650\u0679\u06cc\u0646\u0648\u06af\u0631\u065b\u0627\u0641\u06cc ""","The first letter: ""\u0634\u0627\u0679_\u06c1\u06cc\u0646\u065b\u0691_,\u0633\u0650\u0679\u06cc\u0646\u0648\u06af\u0631\u065b\u0627\u0641\u06cc "": ""\u0634"" (20). We have only one word, so the answer is ""\u0634\u0627\u0679_\u06c1\u06cc\u0646\u065b\u0691_,\u0633\u0650\u0679\u06cc\u0646\u0648\u06af\u0631\u065b\u0627\u0641\u06cc ""."
"Sort the following words alphabetically: List: ""\u0686\u06be\u0627\u0646\u065b\u0646\u0627\u0648\u0650\u064f\u0646\u060c\u067e\u06be\u06cc\u065b\u0627\u0631\u0646\u0627\u0648\u064f\u0646""","The first letter: ""\u0686\u06be\u0627\u0646\u065b\u0646\u0627\u0648\u0650\u064f\u0646\u060c\u067e\u06be\u06cc\u065b\u0627\u0631\u0646\u0627\u0648\u064f\u0646"": ""\u0686"" (4). We now have: (4) ""\u0686\u06be\u0627\u0646\u065b\u0646\u0627\u0648\u0650\u064f\u0646\u060c\u067e\u06be\u06cc\u065b\u0627\u0631\u0646\u0627\u0648\u064f\u0646"". The answer is ""\u0686\u06be\u0627\u0646\u065b\u0646\u0627\u0648\u0650\u064f\u0646\u060c\u067e\u06be\u06cc\u065b\u0627\u0631\u0646\u0627\u0648\u064f\u0646""."
"Sort the following words alphabetically: List: ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"" ""\u0637\u0627\u0647\u0631""","The first letter: ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"": ""\u0637"" (20). ""\u0637\u0627\u0647\u0631"": ""\u0637"" (20). We now have: (20) [""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"" ? ""\u0637\u0627\u0647\u0631""]. Now let's sort this subpart [""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"" ? ""\u0637\u0627\u0647\u0631""] by looking at their second letters. The second letter: ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"": ""\u0648"" (24). ""\u0637\u0627\u0647\u0631"": ""\u0627"" (1). We now have: (1) ""\u0637\u0627\u0647\u0631"" < (24) ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"". Hence, we have ""\u0637\u0627\u0647\u0631"" < ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a"". The answer is ""\u0637\u0627\u0647\u0631"" ""\u0637\u064f\u0648\u064e\u064a\u0652\u0647\u0650\u064a""."
"""Sort the following words alphabetically: List: kwa sasa hatutaki kuzungumza chochote jana tulishambuliwa""","""The first letter: ""kwa"": ""k"" (11). ""sasa"": ""s"" (19). ""hatutaki"": ""h"" (8). ""kuzungumza"": ""k"" (11). ""chochote"": ""c"" (3). ""jana"": ""j"" (10). ""tulishambuliwa"": ""t"" (20). We now have: (3) ""chochote"" < (8) ""hatutaki"" < (10) ""jana"" < (11) [""kwa"" ? ""kuzungumza""] < (19) ""sasa"" < (20) ""tulishambuliwa"". Now let's sort this subpart [""kwa"" ? ""kuzungumza""] by looking at their second letters.The second letter: ""kwa"": ""w"" (23). ""kuzungumza"": ""u"" (21). We now have: (21) ""kuzungumza"" < (23) ""kwa"". Hence, we have ""chochote"" < ""hatutaki"" < ""jana"" < [""kuzungumza"" < ""kwa""] < ""sasa"" < ""tulishambuliwa"". The answer is chochote hatutaki jana kuzungumza kwa sasa tulishambuliwa."""
"Sort the following words alphabetically: List: ""\u092c\u093e\u0926\u093e\u092f\u0917\u094d\u0930\u093e\u0928\u0919\u0948""","The first letter: ""\u092c\u093e\u0926\u093e\u092f\u0917\u094d\u0930\u093e\u0928\u0919\u0948"": ""\u092c"" (2). We now have: (2) ""\u092c\u093e\u0926\u093e\u092f\u0917\u094d\u0930\u093e\u0928\u0919\u0948"". Hence, the answer is ""\u092c\u093e\u0926\u093e\u092f\u0917\u094d\u0930\u093e\u0928\u0919\u0948""."
"Sort the following words alphabetically: List: ""پانج بُتھ وول، پانج روے وول""","The first letter: ""پانج"": ""پ"" (16). ""بُتھ"": ""ب"" (2). ""وول"": ""و"" (23). ""روے"": ""ر"" (18). We now have: (2) ""بُتھ"" < (16) ""پانج"" < (18) ""روے"" < (23) ""وول"". Hence, the answer is بُتھ پانج روے وول."
"""Sort the following words alphabetically: List: \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"", \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\"", \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\"", \""\\u062d\\u0633\\u0627\\u0628\""""","""The first letter: \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"": \""\\u06af\"" (7). \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\"": \""\\u06af\"" (7). \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\"": \""\\u06af\"" (7). \""\\u062d\\u0633\\u0627\\u0628\"": \""\\u062d\"" (3). We now have: (3) \""\\u062d\\u0633\\u0627\\u0628\"" < (7) [\""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"" ? \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\"" ? \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\""]. Now let's sort this subpart [\""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"" ? \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\"" ? \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\""] by looking at their second letters.The second letter: \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"": \""\\u0654\"" (0). \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\"": \""\\u0654\"" (0). \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\"": \""\\u0631\"" (18). We now have: (0) [\""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"" ? \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\""] < (18) \""\\u06af\\u0631\\u065b\\u06cc\\u0646\\u065b\\u062f\"". Now let's sort this subpart [\""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"" ? \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u0627\\u0648\\u064f\\u0646\""] by looking at their third letters.The third letter: \""\\u06af\\u0654\\u0646\\u065b\\u0632\\u0631\\u064f\\u0646\"": \""\\u0646\"" (14). \""\\u06af\\u0654\\u0646\\u065b\\u"
"Sort the following words alphabetically: List: ""شمعية"" ""شم"" ""عم"" ""شمع""","The first letter: ""شمعية"": ""ش"" (20). ""شم"": ""ش"" (20). ""عم"": ""ع"" (16). ""شمع"": ""ش"" (20). We now have: (16) ""عم"" < (20) [""شم"" ? ""شمع"" ? ""شمعية""]. Now let's sort this subpart [""شم"" ? ""شمع"" ? ""شمعية""] by looking at their second letters.The second letter: ""شم"": ""م"" (13). ""شمع"": ""م"" (13). ""شمعية"": ""ع"" (16). We now have: (13) [""شم"" ? ""شمع""] < (16) ""شمعية"". Now let's sort this subpart [""شم"" ? ""شمع""] by looking at their third letters.The third letter: ""شم"": """" (0). ""شمع"": ""ع"" (16). We now have: (0) ""شم"" < (16) ""شمع"". Hence, we have ""عم"" < [""شم"" < ""شمع""] < ""شمعية"". The answer is عم شم شمع شمعية."
"Sort the following words alphabetically: List: ""\u091c\u094d\u0935\u093e\u0932\u093e\u092e\u0941\u0916\u0940_\u0909\u0926\u094d\u0930\u0947\u0915"" ""\u0906\u0935\u0940\u0930\u094d\u092d\u093e\u0935"" ""\u0920\u0939\u0930\u093e\u0935"" ""\u0905\u0938\u0902\u0917\u0924"" ""\u0938\u0902\u0915\u0947\u0924""","The first letter: ""\u091c\u094d\u0935\u093e\u0932\u093e\u092e\u0941\u0916\u0940_\u0909\u0926\u094d\u0930\u0947\u0915"": ""\u091c"" (10). ""\u0906\u0935\u0940\u0930\u094d\u092d\u093e\u0935"": ""\u0906"" (1). ""\u0920\u0939\u0930\u093e\u0935"": ""\u0920"" (20). ""\u0905\u0938\u0902\u0917\u0924"": ""\u0905"" (2). ""\u0938\u0902\u0915\u0947\u0924"": ""\u0938"" (19). We now have: (1) ""\u0906\u0935\u0940\u0930\u094d\u092d\u093e\u0935"" < (2) ""\u0905\u0938\u0902\u0917\u0924"" < (10) ""\u091c\u094d\u0935\u093e\u0932\u093e\u092e\u0941\u0916\u0940_\u0909\u0926\u094d\u0930\u0947\u0915"" < (19) ""\u0938\u0902\u0915\u0947\u0924"" < (20) ""\u0920\u0939\u0930\u093e\u0935"". The answer is ""\u0906\u0935\u0940\u0930\u094d\u092d\u093e\u0935"" ""\u0905\u0938\u0902\u0917\u0924"" ""\u091c\u094d\u0935\u093e\u0932\u093e\u092e\u0941\u0916\u0940_\u0909\u0926\u094d\u0930\u0947\u0915"" ""\u0938\u0902\u0915\u0947\u0924"" ""\u0920\u0939\u0930\u093e\u0935""."
"Sort the following words alphabetically: List: ""\u067e\u0627\u0646\u065b\u0686\u062c\u0646\u065b\u06cc\u06c1\u0650"" ""\u0628\u0672\u0646\u0633\u0650""","The first letter: ""\u067e\u0627\u0646\u065b\u0686\u062c\u0646\u065b\u06cc\u06c1\u0650"": ""\u067e"" (17). ""\u0628\u0672\u0646\u0633\u0650"": ""\u0628"" (2). We now have: (2) ""\u0628\u0672\u0646\u0633\u0650"" < (17) ""\u067e\u0627\u0646\u065b\u0686\u062c\u0646\u065b\u06cc\u06c1\u0650"". Hence, the answer is ""\u0628\u0672\u0646\u0633\u0650"" ""\u067e\u0627\u0646\u065b\u0686\u062c\u0646\u065b\u06cc\u06c1\u0650""."
