input,output
"Alyssa, who is from Charlotte, traveled from Atlanta to Miami. Once in Miami, she went to the beach to visit some friends, but also wanted some time to herself. At the end of her trip, Alyssa was at the beach. Why did Alyssa go to Miami?","(0) Alyssa is from Charlotte and traveled from Atlanta to Miami.(1) In Miami, Alyssa went to the beach to visit some friends.(2) Alyssa also wanted some time to herself at the beach.At the end of her trip, Alyssa was at the beach. The reason Alyssa went to Miami was to visit friends. The answer is (C) visit friends."
"Alice, Bob, and Claire are visiting Alyssa in Miami. At the start of their visit, Alyssa has 2 friends over. First, Alyssa introduces Bob to her friends. Then, Alice and Claire join the group. Finally, one of Alyssa's friends leaves. At the end of the visit, how many friends does Alyssa have?","(0) At the start, Alyssa has 2 friends over.(1) Alyssa introduces Bob to her friends, so the total is 3.(2) Alice and Claire join the group, so the total is 5.(3) One of Alyssa's friends leaves, so the final number of friends is 4.The answer is (C) 4."
"Alice, Bob, and Claire are at a carnival. At the start, Alice has a red ticket, Bob has a blue ticket, and Claire has a yellow ticket. Throughout the day, they trade tickets with each other. First, Alice and Bob swap tickets. Then, Bob and Claire swap tickets. Finally, Alice and Claire swap tickets. At the end of the day, Claire has the Options:(A) red ticket(B) blue ticket(C) yellow ticket","(0) At the start: Alice: red, Bob: blue, Claire: yellow.(1) Alice and Bob swap tickets: Alice: blue, Bob: red, Claire: yellow.(2) Bob and Claire swap tickets: Alice: blue, Bob: yellow, Claire: red.(3) Alice and Claire swap tickets: Alice: yellow, Bob: yellow, Claire: blue.At the end of the day, Claire has the blue ticket. The answer is (B)."
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming, Alyssa decided to get some food at a nearby restaurant. What did Alyssa eat at the restaurant?","(0) Alyssa is visiting Miami from Charlotte, where she is from, after traveling from Atlanta.(1) She wanted some time to herself at the beach, so she went there first before visiting her friends.(2) After going swimming, Alyssa decided to get some food at a nearby restaurant.Options:(A) steak(B) soup(C) salad(D) catfishAt the restaurant, Alyssa ordered the catfish. The answer is (D)."
"Alice, Bob, and Claire are all employees at a software company. At the start of the workday, they are each assigned a different task: Alice is working on a new website design, Bob is debugging code, and Claire is writing a technical report.Throughout the day, the employees switch tasks. First, Alice and Bob switch tasks. Then, Bob and Claire switch tasks. Finally, Alice and Claire switch tasks. At the end of the day, Alice is working onOptions:(A) the website design(B) debugging code(C) the technical report","(0) At the start: Alice: website design, Bob: debugging code, Claire: technical report.(1) Alice and Bob switch tasks: Alice: debugging code, Bob: website design, Claire: technical report.(2) Bob and Claire switch tasks: Alice: debugging code, Bob: technical report, Claire: website design.(3) Alice and Claire switch tasks: Alice: technical report, Bob: website design, Claire: debugging code.At the end of the day, Alice is working on the technical report. The answer is (C)."
"Alice, Bob, and Claire are at a party. At the start of the party, they each have a different type of drink: Alice has a glass of wine, Bob has a beer, and Claire has a cocktail. As the party goes on, they swap drinks with each other. First, Alice and Bob swap drinks. Then, Bob and Claire swap drinks. Finally, Alice and Claire swap drinks. At the end of the party, Claire has the","(0) At the start: Alice: wine, Bob: beer, Claire: cocktail.(1) Alice and Bob swap drinks: Alice: beer, Bob: wine, Claire: cocktail.(2) Bob and Claire swap drinks: Alice: beer, Bob: cocktail, Claire: wine.(3) Alice and Claire swap drinks: Alice: cocktail, Bob: cocktail, Claire: beer.At the end of the party, Claire has the beer. The answer is (B)."
"Alice, Bob, and Claire are having a picnic in the park. At the start, Alice has a sandwich, Bob has an apple, and Claire has a bag of chips. During the picnic, they decide to share their food. First, Alice and Bob exchange their items. Then, Bob and Claire exchange their items. Finally, Alice and Claire exchange their items. At the end of the picnic, Alice has the","(0) At the start: Alice: sandwich, Bob: apple, Claire: chips.(1) Alice and Bob exchange their items: Alice: apple, Bob: sandwich, Claire: chips.(2) Bob and Claire exchange their items: Alice: apple, Bob: chips, Claire: sandwich.(3) Alice and Claire exchange their items: Alice: chips, Bob: chips, Claire: apple.At the end of the picnic, Alice has the chips. The answer is (C)."
"At the start of a dance party, Alice, Bob, and Claire each have a partner: Alice is dancing with David, Bob is dancing with Emily, and Claire is dancing with Frank. Throughout the party, the dancers switch partners. First, Alice and Bob switch partners. Then, Claire and Bob switch partners. Finally, Bob and Alice switch partners. At the end of the party, who is Alice dancing with?","(0) At the start: Alice: David, Bob: Emily, Claire: Frank.(1) Alice and Bob switch partners: Alice: Emily, Bob: David, Claire: Frank.(2) Claire and Bob switch partners: Alice: Emily, Bob: Frank, Claire: David.(3) Bob and Alice switch partners: Alice: Frank, Bob: Emily, Claire: David.At the end of the party, Alice is dancing with Frank. The answer is (C) Frank."
"""Rose and Lily were best friends who lived together in a house with blue walls. They went to a couch store where they met Jerry, who worked there. Lily found a green couch that she liked. At a party, Jerry gave Lily and Rose some items. What did Jerry give them?""","""(0) Rose and Lily were best friends who lived together in a house with blue walls.(1) They went to a couch store where they met Jerry, who worked there.(2) Lily found a green couch that she liked.(3) At a party, Jerry gave Lily and Rose some items.The options are:(A) Pillows(B) A couch(C) A blue rug that matched the pillows(D) Tom.The correct answer is (C) A blue rug that matched the pillows."""
Emily was a princess that lived in a castle made out of rainbows and chocolate. Her mom and dad were very kind to her. Her favorite thing to do was to play on the swings on the chocolate tree in their front yard with her friend Daisy. Emily always g...,"(0) According to the story, Emily was a princess who lived in a castle made of rainbows and chocolate.Options:(A) A rainbow(B) A swing(C) A princess(D) A treeThe correct answer is (C) A princess."
"Alice, Bob, and Claire are going to the beach. They each bring some items with them. Alice brings a beach towel, sunscreen, and a frisbee. Bob brings a beach ball, a shovel, and a boogie board. Claire brings a picnic basket, a beach umbrella, and a boogie board. As they are packing up to go home, they realize that one of the items was not taken to the beach. Which item was not taken to the beach?","(0) At the start, the items brought to the beach are: Alice: beach towel, sunscreen, frisbee; Bob: beach ball, shovel, boogie board; Claire: picnic basket, beach umbrella, boogie board.(1) As they are packing up to go home, they realize that one of the items was not taken to the beach.(2) The item that was not taken to the beach is the shovel. The answer is (B) Shovel."
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a red ball, Bob has a green ball, and Claire has a blue ball. As the game progresses, pairs of players trade balls. First, Alice and Bob swap balls. Then, Bob and Claire swap balls. Finally, Alice and Claire swap balls. At the end of the game, Claire has the Options:(A) red ball(B) green ball(C) blue ball","(0) At the start: Alice: red, Bob: green, Claire: blue.(1) Alice and Bob swap balls: Alice: green, Bob: red, Claire: blue.(2) Bob and Claire swap balls: Alice: green, Bob: blue, Claire: red.(3) Alice and Claire swap balls: Alice: blue, Bob: red, Claire: green.At the end of the game, Claire has the green ball. The answer is (B)."
"Alice, Bob, and Claire are attending a costume party. At the start of the party, they each have a different costume: Alice is dressed as a witch, Bob is dressed as a superhero, and Claire is dressed as a princess. Throughout the night, they trade costumes with each other. First, Alice and Bob swap costumes. Then, Bob and Claire swap costumes. Finally, Alice and Claire swap costumes. At the end of the party, Claire is dressed as the Options:(A) witch(B) superhero(C) princess","(0) At the start: Alice: witch, Bob: superhero, Claire: princess.(1) Alice and Bob swap costumes: Alice: superhero, Bob: witch, Claire: princess.(2) Bob and Claire swap costumes: Alice: superhero, Bob: princess, Claire: witch.(3) Alice and Claire swap costumes: Alice: princess, Bob: witch, Claire: superhero.At the end of the party, Claire is dressed as the superhero. The answer is (B)."
"Alice, Bob, and Claire are going on a picnic. At the start, they each have a different type of sandwich: Alice has a peanut butter sandwich, Bob has a ham sandwich, and Claire has a veggie sandwich. As they eat, they decide to trade sandwiches. First, Alice and Bob swap sandwiches. Then, Bob and Claire swap sandwiches. Finally, Alice and Claire swap sandwiches. At the end of the picnic, Claire has the Options:(A) peanut butter sandwich(B) ham sandwich(C) veggie sandwich","(0) At the start: Alice: peanut butter, Bob: ham, Claire: veggie.(1) Alice and Bob swap sandwiches: Alice: ham, Bob: peanut butter, Claire: veggie.(2) Bob and Claire swap sandwiches: Alice: ham, Bob: veggie, Claire: peanut butter.(3) Alice and Claire swap sandwiches: Alice: veggie, Bob: veggie, Claire: ham.At the end of the picnic, Claire has the ham sandwich. The answer is (B)."
"Alice, Bob, and Claire are playing a game. At the start of the game, they each have a different colored ball: Alice has a red ball, Bob has a green ball, and Claire has a blue ball. As the game progresses, pairs of players trade balls. First, Alice and Bob swap balls. Then, Bob and Claire swap balls. Finally, Alice and Claire swap balls. At the end of the game, Claire has the","(0) At the start: Alice: red, Bob: green, Claire: blue.(1) Alice and Bob swap balls: Alice: green, Bob: red, Claire: blue.(2) Bob and Claire swap balls: Alice: green, Bob: blue, Claire: red.(3) Alice and Claire swap balls: Alice: blue, Bob: blue, Claire: green.At the end of the game, Claire has the green ball. The answer is (C)."
"Alice, Bob, and Claire are all students at the same school. At the start of the school year, Alice's locker is next to Bob's, and Bob's locker is next to Claire's. Over the course of the year, the students switch lockers a few times. First, Alice and Bob switch lockers. Then, Bob and Claire switch lockers. Finally, Alice and Bob switch lockers again. At the end of the year, Alice's locker is next toOptions:(A) Bob's(B) Claire's(C) no one's","(0) At the start: Alice's locker is next to Bob's, and Bob's locker is next to Claire's.(1) Alice and Bob switch lockers: Alice's locker is next to Claire's, and Bob's locker is next to no one's.(2) Bob and Claire switch lockers: Alice's locker is next to Claire's, and Bob's locker is next to Claire's.(3) Alice and Bob switch lockers again: Alice's locker is next to Bob's, and Bob's locker is next to Claire's.At the end of the year, Alice's locker is next to Bob's. The answer is (A)."
"Alice, Bob, and Claire are beekeepers managing a set of beehives. At the start, the beehives are arranged in a line, with Alice tending to the first hive, Bob tending to the second hive, and Claire tending to the third hive. As the day progresses, the beekeepers swap positions to tend to different hives. First, Bob and Alice swap positions, with Bob now tending the first hive and Alice tending the second hive. Then, Claire and Bob swap positions, with Claire now tending the second hive and Bob tending the third hive. Finally, Alice and Claire swap positions, with Alice now tending the third hive and Claire tending the first hive. At the end of the day, which beekeeper is tending the middle hive?Options:(A) Alice(B) Bob(C) Claire","(0) At the start: Alice: first hive, Bob: second hive, Claire: third hive.(1) Bob and Alice swap positions: Bob: first hive, Alice: second hive, Claire: third hive.(2) Claire and Bob swap positions: Bob: third hive, Claire: second hive, Alice: first hive.(3) Alice and Claire swap positions: Claire: first hive, Alice: third hive, Bob: second hive.At the end of the day, Bob is tending the middle hive. The answer is (B)."
"Andrei, Natasha, and Alexei are at a party. At the start, Andrei is wearing a red hat, Natasha is wearing a blue scarf, and Alexei is wearing a green jacket. As the night goes on, they start trading accessories with each other. First, Andrei and Natasha swap their hat and scarf. Then, Natasha and Alexei swap their scarf and jacket. Finally, Andrei and Alexei swap their hat and jacket. At the end of the party, Alexei is wearing the Options:(A) red hat(B) blue scarf(C) green jacket","(0) At the start: Andrei: red hat, Natasha: blue scarf, Alexei: green jacket.(1) Andrei and Natasha swap their hat and scarf: Andrei: blue scarf, Natasha: red hat, Alexei: green jacket.(2) Natasha and Alexei swap their scarf and jacket: Andrei: blue scarf, Natasha: green jacket, Alexei: red hat.(3) Andrei and Alexei swap their hat and jacket: Andrei: green jacket, Natasha: green jacket, Alexei: red hat.At the end of the party, Alexei is wearing the red hat. The answer is (A)."
