input,output
"Question: What is the capital city of the country where Vienna is located? Context: Vienna is the capital and largest city of Austria. Austria is a landlocked country located in the southern part of Central Europe. It is bordered by Germany, the Czech Republic, Slovakia, Hungary, Slovenia, Italy, Liechtenstein, and Switzerland. The capital and largest city of Austria is Vienna.",Vienna
"Question: On which river is the city that hosted the 1900 Summer Olympics located? Context: The 1900 Summer Olympics, officially known as the Games of the II Olympiad, were an international multi-sport event which was celebrated in Paris, France, from 14 May to 31 October 1900. A total of 997 competitors (of whom 19 were women) from 24 countries participated in 95 events in 19 different sports. The host city of the 1900 Summer Olympics was Paris, the capital city of France, which is located along the banks of the Seine River.",Seine River
"Question: In what city was the first known map of Poland published? Context: In 1560, the first known map of Poland was published in Danzig (now Gdańsk, Poland). The map, created by Stanisław Porębski, was an important milestone in the cartography of the Polish-Lithuanian Commonwealth. Danzig, located on the Baltic Sea coast, was a major port city and an important center of trade and culture in the 16th century.",Danzig
"Question: What city was the capital of the Savoy Duchy in the 19th century? Context: The city in the 19th century was an important political center. It was the capital of the Savoy Duchy, a historical state that existed from the 11th to the 19th century, located in what is now northwestern Italy.",Turin
"Question: In which region of Spain is the city of Segovia located? Context: Segovia ( / s\u026a\u02c8\u0261o\u028avi\u0259 / ; Spanish pronunciation : ( se\u02c8\u0263o\u03b2ja ) ) is a city in the autonomous region of Castile and Le\u00f3n , Spain , famous for its magnificent Roman aqueduct and for its cathedral , one of t...",Castile and León
"Question: What continent is Belgrade, the capital of Serbia, located on? Context: Belgrade ( / \u02c8b\u025bl\u0261re\u026ad / BEL - grayd ; Serbian : Beograd / \u0411\u0435\u043e\u0433\u0440\u0430\u0434 , meaning `` white city '' , Serbian pronunciation : ( be\u01d2\u0261rad ) ( listen ) ; names in other languages ) is the capit...",Europe
"Question: What river flows through Salto del Guairá? Context: The Paraná River is a river in south-central South America, running through Brazil, Paraguay, and Argentina. It flows for about 4,880 km (3,030 mi) and is the second-largest river in South America after the Amazon River. The Paraná River originates in the Serra do Mar mountains in southern Brazil and flows generally southwest until it meets the Paraguay River, at which point it turns southeast and ultimately empties into the Río de la Plata, which feeds into the Atlantic Ocean. The Salto del Guairá, located on the border between Paraguay and Brazil, is a major waterfall on the Paraná River.",Paraná River
"Question: What languages are used for communication in the country that contains the city of Vienna? Context: Vienna is a city in the nation of Austria. The languages used for communication in Austria include German (the official national language), as well as regional languages like Bavarian, Bosnian, Turkish, and Hungarian.","German, Bavarian, Bosnian, Turkish, Hungarian"
"Question: What lake did the river that flows through Revelstoke begin at? Context: The Columbia River is a major river in western North America, flowing from the Canadian Rockies in British Columbia, Canada, and emptying into the Pacific Ocean. The river is 1,243 miles (2,000 km) long, and its largest tributary is the Snake River. The river flows through the Revelstoke region in British Columbia, Canada.",Columbia Lake
"Question: What city is the home of the NFL team that won the 1937 Championship? Context: The 1937 NFL Championship Game was the fifth annual championship game of the National Football League (NFL), played on December 12, 1937, at the Polo Grounds in New York City. The Washington Redskins defeated the Chicago Bears 28–21 to win their first NFL championship.","Washington, D.C."
