input,output
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming...","(0) Alyssa is from Charlotte and traveled from Atlanta to Miami.(1) Alyssa went to Miami to visit some friends.(2) Alyssa wanted some time to herself at the beach, so she went there first before visiting her friends.At the end, Alyssa went to Miami to visit friends. The answer is (C) visit friends."
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming, Alyssa decided to go meet her friends. How many friends does Alyssa have?","(0) At the start, Alyssa is in Miami to visit some friends.(1) Alyssa went to the beach first to have some time to herself.(2) After swimming, Alyssa decided to go meet her friends.The question is: How many friends does Alyssa have?Options:(A) 1(B) 2(C) 3(D) 4The answer is (C) 3."
"Alice, Bob, and Claire are planning a trip to the beach. At the start of the planning, they each have a preference for a different beach activity: Alice wants to go swimming, Bob wants to play volleyball, and Claire wants to sunbathe.As they discuss their plans, they decide to compromise and try different activities. First, Alice and Bob switch preferences, with Alice now wanting to play volleyball and Bob wanting to swim. Then, Bob and Claire switch preferences, with Bob now wanting to sunbathe and Claire wanting to play volleyball. Finally, Alice and Claire switch preferences, with Alice now wanting to sunbathe and Claire wanting to swim. At the end of the planning, Alice wants toOptions:(A) swim(B) play volleyball(C) sunbathe","(0) At the start: Alice: swimming, Bob: volleyball, Claire: sunbathe.(1) Alice and Bob switch preferences: Alice: volleyball, Bob: swimming, Claire: sunbathe.(2) Bob and Claire switch preferences: Alice: volleyball, Bob: sunbathe, Claire: volleyball.(3) Alice and Claire switch preferences: Alice: sunbathe, Bob: sunbathe, Claire: swimming.At the end of the planning, Alice wants to sunbathe. The answer is (C)."
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming, Alyssa went to a restaurant near the beach. What did Alyssa eat at the restaurant?","(0) Alyssa traveled from Atlanta to Miami to visit friends, but first went to the beach.(1) After going swimming, Alyssa went to a restaurant near the beach.(2) At the restaurant, Alyssa had the options of steak, soup, salad, or catfish.The answer is (D) catfish."
"Alice, Bob, and Claire are friends who love to play a game where they switch hats. At the start of the game, Alice is wearing a red hat, Bob is wearing a blue hat, and Claire is wearing a green hat. Throughout the game, the friends switch hats in the following order: First, Alice and Bob switch hats. Then, Bob and Claire switch hats. Finally, Alice and Claire switch hats. At the end of the game, Claire is wearing the Options:(A) red hat(B) blue hat(C) green hat","(0) At the start: Alice: red hat, Bob: blue hat, Claire: green hat.(1) Alice and Bob switch hats: Alice: blue hat, Bob: red hat, Claire: green hat.(2) Bob and Claire switch hats: Alice: blue hat, Bob: green hat, Claire: red hat.(3) Alice and Claire switch hats: Alice: green hat, Bob: green hat, Claire: blue hat.At the end of the game, Claire is wearing the blue hat. The answer is (B)."
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a white ball, Bob has a purple ball, and Claire has a pink ball. As the game progresses, pairs of players trade balls. First, Bob and Alice swap balls. Then, Bob and Claire swap balls. Finally, Bob and Alice swap balls. At the end of the game, Claire has the","(0) At the start: Alice: white, Bob: purple, Claire: pink.(1) Bob and Alice swap balls: Alice: purple, Bob: white, Claire: pink.(2) Bob and Claire swap balls: Alice: purple, Bob: pink, Claire: white.(3) Bob and Alice swap balls: Alice: white, Bob: purple, Claire: pink.At the end of the game, Claire has the pink ball. The answer is (C)."
"Alice, Bob, and Claire are having a picnic in the park. At the start, Alice has a sandwich, Bob has an apple, and Claire has a cookie. During the picnic, they decide to share their food. First, Alice gives her sandwich to Bob, and Bob gives his apple to Claire. Then, Claire gives her cookie to Alice. Finally, Bob gives half of his apple to Alice. At the end of the picnic, Alice has theOptions:(A) a sandwich and half an apple(B) a cookie and half an apple(C) a sandwich, a cookie, and half an apple","(0) At the start: Alice: sandwich, Bob: apple, Claire: cookie.(1) Alice gives her sandwich to Bob, and Bob gives his apple to Claire: Alice: -, Bob: sandwich + apple, Claire: cookie + apple.(2) Claire gives her cookie to Alice: Alice: cookie, Bob: sandwich + apple, Claire: apple.(3) Bob gives half of his apple to Alice: Alice: cookie + half an apple, Bob: sandwich + half an apple, Claire: apple.At the end of the picnic, Alice has a cookie and half an apple. The answer is (B)."
"Alice, Bob, and Claire are playing a game. At the start of the game, they each have a pet: Alice has a cat, Bob has a dog, and Claire has a hamster. As the game progresses, the pets are passed around between the players. First, Alice and Bob swap pets. Then, Bob and Claire swap pets. Finally, Alice and Bob swap pets again. At the end of the game, Bob has the","(0) At the start: Alice: cat, Bob: dog, Claire: hamster.(1) Alice and Bob swap pets: Alice: dog, Bob: cat, Claire: hamster.(2) Bob and Claire swap pets: Alice: dog, Bob: hamster, Claire: cat.(3) Alice and Bob swap pets again: Alice: hamster, Bob: cat, Claire: dog.At the end of the game, Bob has the cat. The answer is (B)."
"Rose and Lily were best friends who lived together in a house with blue walls. They went to a furniture store where they met Jerry, who worked there. Lily found a green couch that she liked. At a party, Jerry gave Lily and Rose a gift. What was the gift?","(0) Rose and Lily were best friends who lived together in a house with blue walls.(1) They went to a furniture store where they met Jerry, who worked there.(2) Lily found a green couch that she liked.(3) At a party, Jerry gave Lily and Rose a gift.The options are:(A) Pillows(B) A couch(C) A blue rug that matched the pillows(D) Tom.The correct answer is (C) A blue rug that matched the pillows."
Emily was a princess that lived in a castle made out of rainbows and chocolate. Her mom and dad were very kind to her. Her favorite thing to do was to play on the swings on the chocolate tree in their front yard with her friend Daisy. Emily always g... What was Emily?,"(0) Emily was described as a princess who lived in a castle made of rainbows and chocolate. Her favorite activity was playing on the swings of a chocolate tree with her friend Daisy. Given this information, the answer to the question 'What was Emily?' is (C) A princess."
"Bob was planning a beach trip with his family. He gathered a few items to take with them: a towel, a beach ball, a shovel, and a bicycle. As they were packing up the car, Bob realized he had forgotten one of the items at home. Which item was not taken to the beach?","(0) Bob gathered the following items for the beach trip: a towel, a beach ball, a shovel, and a bicycle.(1) As they were packing up the car, Bob realized he had forgotten one of the items at home.(2) The item that was not taken to the beach was the bicycle. The answer is (D)."
"Alice, Bob, and Claire are playing a game. At the start of the game, they each have a piece of candy: Alice has a chocolate bar, Bob has a lollipop, and Claire has a gummy bear.As the game progresses, pairs of players trade candies. First, Alice and Bob swap candies. Then, Bob and Claire swap candies. Finally, Alice and Claire swap candies. At the end of the game, Claire has the Options:(A) chocolate bar(B) lollipop(C) gummy bear","(0) At the start: Alice: chocolate bar, Bob: lollipop, Claire: gummy bear.(1) Alice and Bob swap candies: Alice: lollipop, Bob: chocolate bar, Claire: gummy bear.(2) Bob and Claire swap candies: Alice: lollipop, Bob: gummy bear, Claire: chocolate bar.(3) Alice and Claire swap candies: Alice: gummy bear, Bob: gummy bear, Claire: chocolate bar.At the end of the game, Claire has the chocolate bar. The answer is (A)."
"Alice, Bob, and Claire are students at a school. At the start of the day, they are each assigned a locker: Alice has locker 1, Bob has locker 2, and Claire has locker 3. Throughout the day, the students switch lockers in pairs. First, Alice and Bob switch lockers. Then, Bob and Claire switch lockers. Finally, Alice and Claire switch lockers. At the end of the day, Claire has the Options:(A) locker 1(B) locker 2(C) locker 3","(0) At the start: Alice: locker 1, Bob: locker 2, Claire: locker 3.(1) Alice and Bob switch lockers: Alice: locker 2, Bob: locker 1, Claire: locker 3.(2) Bob and Claire switch lockers: Alice: locker 2, Bob: locker 3, Claire: locker 1.(3) Alice and Claire switch lockers: Alice: locker 3, Bob: locker 1, Claire: locker 2.At the end of the day, Claire has locker 2. The answer is (B)."
"Alice, Bob, and Claire are students in a science class. At the start of the class, they are each assigned a different lab station: Alice is at station A, Bob is at station B, and Claire is at station C. As the class progresses, the teacher has the students rotate through the stations. First, Alice and Bob switch stations. Then, Bob and Claire switch stations. Finally, Alice and Claire switch stations. At the end of the class, Alice is at","(0) At the start: Alice: station A, Bob: station B, Claire: station C.(1) Alice and Bob switch stations: Alice: station B, Bob: station A, Claire: station C.(2) Bob and Claire switch stations: Alice: station B, Bob: station C, Claire: station A.(3) Alice and Claire switch stations: Alice: station C, Bob: station C, Claire: station B.At the end of the class, Alice is at station C. The answer is (C)."
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a white ball, Bob has a purple ball, and Claire has a pink ball. As the game progresses, pairs of players trade balls. First, Bob and Alice swap balls. Then, Bob and Claire swap balls. Finally, Bob and Alice swap balls. At the end of the game, Claire has the Options:(A) white ball(B) purple ball(C) pink ball","(0) At the start: Alice: white, Bob: purple, Claire: pink.(1) Bob and Alice swap balls: Alice: purple, Bob: white, Claire: pink.(2) Bob and Claire swap balls: Alice: purple, Bob: pink, Claire: white.(3) Bob and Alice swap balls: Alice: white, Bob: purple, Claire: pink.At the end of the game, Claire has the pink ball. The answer is (C)."
"Alice, Bob, and Claire are at a party. At the start of the party, they each have a different type of drink: Alice has a soda, Bob has a beer, and Claire has a glass of wine. Throughout the party, they swap drinks with each other. First, Alice and Bob swap drinks. Then, Bob and Claire swap drinks. Finally, Alice and Claire swap drinks. At the end of the party, Claire has the Options:(A) soda(B) beer(C) wine","(0) At the start: Alice: soda, Bob: beer, Claire: wine.(1) Alice and Bob swap drinks: Alice: beer, Bob: soda, Claire: wine.(2) Bob and Claire swap drinks: Alice: beer, Bob: wine, Claire: soda.(3) Alice and Claire swap drinks: Alice: wine, Bob: wine, Claire: beer.At the end of the party, Claire has the beer. The answer is (B)."
