input,output
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming...","(0) Alyssa is from Charlotte and traveled from Atlanta to Miami.(1) Alyssa went to Miami to visit some friends.(2) Alyssa wanted some time to herself at the beach, so she went there first before visiting her friends.At the end, Alyssa went to Miami to visit friends. The answer is (C) visit friends."
"Alice, Bob, and Claire are visiting their grandparents in the countryside. At the start of the visit, each grandparent gives one of the three a special gift: Grandpa gives Alice a hat, Grandma gives Bob a scarf, and Great-Aunt Edna gives Claire a pair of mittens. As the visit goes on, the three friends decide to swap gifts. First, Alice and Bob swap gifts. Then, Bob and Claire swap gifts. Finally, Alice and Claire swap gifts. At the end of the visit, Claire has the","(0) At the start: Alice: hat, Bob: scarf, Claire: mittens.(1) Alice and Bob swap gifts: Alice: scarf, Bob: hat, Claire: mittens.(2) Bob and Claire swap gifts: Alice: scarf, Bob: mittens, Claire: hat.(3) Alice and Claire swap gifts: Alice: hat, Bob: mittens, Claire: scarf.At the end of the visit, Claire has the scarf. The answer is (C)."
"Alice, Bob, and Claire are planning a weekend trip to the beach. At the start of the planning, Alice wants to bring a red beach umbrella, Bob wants to bring a blue beach towel, and Claire wants to bring a yellow beach chair. As they finalize the plans, the trio decide to swap some of their beach items. First, Alice and Bob swap their items. Then, Bob and Claire swap their items. Finally, Alice and Claire swap their items. At the end of the planning, Bob has the","(0) At the start: Alice: red umbrella, Bob: blue towel, Claire: yellow chair.(1) Alice and Bob swap items: Alice: blue towel, Bob: red umbrella, Claire: yellow chair.(2) Bob and Claire swap items: Alice: blue towel, Bob: yellow chair, Claire: red umbrella.(3) Alice and Claire swap items: Alice: yellow chair, Bob: yellow chair, Claire: blue towel.At the end of the planning, Bob has the yellow chair. The answer is (B)."
"Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming, Alyssa went to a restaurant near the beach. What did Alyssa eat at the restaurant?","(0) Alyssa traveled from Atlanta to Miami to visit friends, but first went to the beach.(1) After going swimming, Alyssa went to a restaurant near the beach.(2) At the restaurant, Alyssa ordered:Options:(A) steak(B) soup(C) salad(D) catfish
At the end of the story, Alyssa ate catfish at the restaurant. The answer is (D)."
"Alice, Bob, and Claire are at a party. At the start of the party, they are each holding a drink: Alice has a martini, Bob has a beer, and Claire has a glass of wine. As the party goes on, the three of them switch drinks with each other. First, Alice and Bob switch drinks. Then, Bob and Claire switch drinks. Finally, Alice and Claire switch drinks. At the end of the party, Claire has the Options:(A) martini(B) beer(C) wine","(0) At the start: Alice: martini, Bob: beer, Claire: wine.(1) Alice and Bob switch drinks: Alice: beer, Bob: martini, Claire: wine.(2) Bob and Claire switch drinks: Alice: beer, Bob: wine, Claire: martini.(3) Alice and Claire switch drinks: Alice: wine, Bob: wine, Claire: beer.At the end of the party, Claire has the beer. The answer is (B)."
"Alice, Bob, and Claire are at a birthday party. At the start, Alice has a red balloon, Bob has a blue balloon, and Claire has a yellow balloon. During the party, the balloons are traded between the three friends. First, Alice and Bob trade balloons. Then, Bob and Claire trade balloons. Finally, Alice and Bob trade balloons again. At the end of the party, Alice has the","(0) At the start: Alice: red, Bob: blue, Claire: yellow.(1) Alice and Bob trade balloons: Alice: blue, Bob: red, Claire: yellow.(2) Bob and Claire trade balloons: Alice: blue, Bob: yellow, Claire: red.(3) Alice and Bob trade balloons again: Alice: yellow, Bob: blue, Claire: red.At the end of the party, Alice has the yellow balloon. The answer is (A)."
"Alice, Bob, and Claire are at a picnic. At the start, Alice has a sandwich, Bob has an apple, and Claire has a bag of chips. During the picnic, they trade their snacks. First, Alice and Bob swap snacks. Then, Bob and Claire swap snacks. Finally, Alice and Claire swap snacks. At the end of the picnic, Bob has the","(0) At the start: Alice: sandwich, Bob: apple, Claire: chips.(1) Alice and Bob swap snacks: Alice: apple, Bob: sandwich, Claire: chips.(2) Bob and Claire swap snacks: Alice: apple, Bob: chips, Claire: sandwich.(3) Alice and Claire swap snacks: Alice: chips, Bob: chips, Claire: apple.At the end of the picnic, Bob has the chips. The answer is (B)."
"Alice, Bob, and Claire are attending a costume party. At the start of the party, they are each wearing a different costume: Alice is dressed as a witch, Bob is dressed as a superhero, and Claire is dressed as a princess. Throughout the party, they swap costumes with each other. First, Alice and Bob swap costumes. Then, Bob and Claire swap costumes. Finally, Claire and Alice swap costumes. At the end of the party, Claire is wearing the Options:(A) witch costume(B) superhero costume(C) princess costume","(0) At the start: Alice: witch, Bob: superhero, Claire: princess.(1) Alice and Bob swap costumes: Alice: superhero, Bob: witch, Claire: princess.(2) Bob and Claire swap costumes: Alice: superhero, Bob: princess, Claire: witch.(3) Claire and Alice swap costumes: Alice: princess, Bob: princess, Claire: superhero.At the end of the party, Claire is wearing the superhero costume. The answer is (B)."
"Rose and Lily were best friends. They had met when they were little and grew up together. Lily and Rose got a house to live in and painted the walls blue. Then they went to buy a couch. Jerry worked at the couch store. Lily found a green couch that she liked. At a party, Jerry gave Lily and Rose some items. What did Jerry give Lily and Rose at the Party?","(0) At the start, Rose and Lily were best friends and got a blue house.(1) Lily and Rose went to a couch store where Jerry worked.(2) Lily found a green couch that she liked.(3) At a party, Jerry gave Lily and Rose some items.Options:(A) Pillows(B) A couch(C) A blue rug that matched the pillows(D) Tom
At the party, Jerry gave Lily and Rose a blue rug that matched the pillows. The answer is (C)."
Emily was a princess that lived in a castle made out of rainbows and chocolate. Her mom and dad were very kind to her. Her favorite thing to do was to play on the swings on the chocolate tree in their front yard with her friend Daisy. Emily always g...Options:(A) A rainbow(B) A swing(C) A princess(D) A tree,"(0) The story describes Emily as a princess who lived in a castle made of rainbows and chocolate.(1) Emily's favorite thing to do was play on the swings on the chocolate tree in their front yard with her friend Daisy.(2) Based on the information provided, the correct answer is (C) A princess."
