input,output
与えられた文字列`text`の中で、スペースは'_'に、'_'はスペースに置き換える関数を書いてください,"def replace_spaces(text):
  return ''.join(' ' if c == '_' else ('_' if c == ' ' else c) for c in text)"
入力された文字列の単語の順序を逆にして出力する,"def reverse_words(s):
    return ' '.join(reversed(s.split()))"
文字列`text`内の空白、カンマ、ドットを全て半角コロンに置き換える,"import re
def replace_specialchar(text):
    return re.sub(r'[ ,.]', ':', text)"
文字列`test_str`をタプルに変換する,"def str_to_tuple(test_str):
  res = tuple(map(int, test_str.split(', ')))
  return res"
ファイル'sample.txt'の中身を1行ずつ表示する,with open('sample.txt') as f: for line in f: print(line.strip())
文字列`test_str`をfloatの要素からなるタプルに変換する関数を書いてください,"def float_to_tuple(test_str):
  return tuple(map(float, test_str.split(', ')))"
タプル`t`をセットに変換する,set(t)
文字列`text`内の空白を'_'に、'_'を空白に置き換える関数を作成する,"import re
def replace_spaces(text):
  return re.sub(r' ', '_', text.replace('_', ' '))"
文字列`text`から全ての空白文字を削除する,"text.replace(' ', '')"
与えられた文字列の中の大文字で始まる単語の間にスペースを入れる関数を書いてください,"import re
def capital_words_spaces(str1):
  return re.sub(r""(\w)([A-Z])"", r""\1 \2"", str1)"
入力文字列`text`を大文字の部分で分割し、リストとして返す,"import re
def split_uppercase(text):
    return re.findall('[A-Z][^A-Z]*', text)"
文字列`word`を大文字に変換する,word.upper()
入力された文字列を大文字に変換する関数を書く,"def to_uppercase(s):
    return s.upper()"
リスト`words`内の単語の出現頻度を降順でカウントする,Counter(words).most_common()
リストの要素を一つの整数に変換する,"def convert(lst): return int(''.join(map(str, lst)))"
与えられた文字列の単語順序を逆転させる,"def reverse_words(s):
    return ' '.join(reversed(s.split()))"
タプル内の隣り合う要素を掛け合わせる関数を作成する,"def multiply_adjacent(tup):
    return tuple(a * b for a, b in zip(tup, tup[1:]))"
文字列`text`をスネークケースに変換する関数を作成する,"import re

def convert_to_snake_case(text):
    str1 = re.sub('(.)([A-Z][a-z]+)', r'\1_\2', text)
    return re.sub('([a-z0-9])([A-Z])', r'\1_\2', str1).lower()"
スペース区切りの文字列`text`から、大文字で始まる単語を抽出して表示する,"import re
print(re.findall('[A-Z][^A-Z]*', text))"
リストの中の重複した文字を1つにまとめる,list(set(my_list))
ファイル'data.txt'から、引用符で囲まれた文字列を抽出するPythonコードを書いてください,"import re
with open('data.txt', 'r') as f:
    text = f.read()
    quotes = re.findall(r'""(.*?)""', text)
    print(quotes)"
直方体の体積を計算する,"def volume_cuboid(length, width, height):
  return length * width * height"
与えられた辺の長さ`side`から正四面体の表面積を計算する,"import math
def area_tetrahedron(side):
  return (math.sqrt(3) * side ** 2)"
タプル`test_tup`を隣接する要素を使ってキーと値のディクショナリに変換する関数を書いてください,"def tuple_to_dict(test_tup):
  res = dict(test_tup[idx : idx + 2] for idx in range(0, len(test_tup), 2))
  return res"
リストのタプル内の空のタプルを削除する関数を作成する,"def remove_empty(tuple1):
    return [t for t in tuple1 if t]"
文字列`text`内の大文字を小文字に変換する,text.lower()
ソート済みのリスト`a`と値`x`を与えられたら、`x`を挿入するべき左側のインデックスを返す関数を書いてください,"import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i"
ソート済みのリスト`a`に対して、値`x`の左挿入点を求める関数を書いてください,"import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i"
2つのネストされたタプル`test_tup1`と`test_tup2`を受け取り、各要素の差分を計算したタプルを返す関数を作成する,"def substract_elements(test_tup1, test_tup2):
  res = tuple(tuple(a - b for a, b in zip(tup1, tup2)) 
   for tup1, tup2 in zip(test_tup1, test_tup2))
  return res"
タプル`test_tup`から入れ子のレコードを除去する関数を作成する,"def remove_nested(test_tup):
  res = tuple()
  for ele in test_tup:
    if not isinstance(ele, tuple):
      res += (ele,)
  return res"
ソート済みのリスト`a`に対して、値`x`の正しい挿入位置を見つける関数を書く,"import bisect
def right_insertion(a, x):
    i = bisect.bisect_right(a, x)
    return i"
リスト `word_list` 内の単語の出現頻度をディクショナリーで返す,"from collections import Counter
Counter(word_list)"
リストの中の偶数番目の要素と奇数番目の要素の位置を交換する,"def exchange_elements(lst):
    return [lst[i+1] if i%2==0 else lst[i-1] for i in range(len(lst))]"
文字列`text`から数字とその位置を抽出して表示する,"import re
def extract_nums(text):
    for m in re.finditer(r'\d+', text):
        print(m.group(), m.start())"
リストの中から偶数だけを抽出して新しいリストを作る,even_nums = [num for num in nums if num % 2 == 0]
リスト`test_tup`からキーと値のペアを持つ辞書を作成する,"def tuple_to_dict(test_tup):
  res = dict(test_tup[idx : idx + 2] for idx in range(0, len(test_tup), 2))
  return res"
長方形の対角線の長さが`a`と`b`の場合、その面積を計算する,"def rectangle_area(a, b):
  return (a * b) / 2"
与えられた文字列`text`の中から、文字列`pattern`の出現位置とマッチした部分文字列を返す関数を書く,"import re
def occurance_substring(text, pattern):
    for match in re.finditer(pattern, text):
        s = match.start()
        e = match.end()
        return (text[s:e], s, e)"
数値を含む文字列`str`から数値の個数を数える関数を作成する,"def count_nums(s):
    count = 0
    for c in s:
        if c.isdigit():
            count += 1
    return count"
文字列`text`内の数字の個数を数える,sum(char.isdigit() for char in text)
整数`num`を受け取り、その数より小さい最大のパリンドローム数を返す関数を書く,"def previous_palindrome(num):
    for x in range(num-1, 0, -1):
        if str(x) == str(x)[::-1]:
            return x"
リストをヒープキューアルゴリズムを使って変換する関数を書いてください,"import heapq as hq
def raw_heap(rawheap):
  hq.heapify(rawheap)
  return rawheap"
ファイル`file.txt`から各行を読み込み、長さの短い順にソートして表示する,"with open('file.txt') as f: lines = [line.strip() for line in f] print(sorted(lines, key=len))"
